x-axis,v1,v2
second,Volt,Volt
+429.687E-06,+5.233731127E+00,-12.484264E-03
+431.250E-06,+5.234535147E+00,-12.484264E-03
+432.812E-06,+5.235339167E+00,-12.484264E-03
+434.375E-06,+5.236143187E+00,-12.484264E-03
+435.937E-06,+5.236947207E+00,-12.484264E-03
+437.500E-06,+5.237751227E+00,-12.484264E-03
+439.062E-06,+5.236344192E+00,-12.484264E-03
+440.625E-06,+5.234937157E+00,-12.484264E-03
+442.187E-06,+5.233530121E+00,-12.484264E-03
+443.750E-06,+5.232123086E+00,-12.484264E-03
+445.312E-06,+5.230716051E+00,-12.484264E-03
+446.875E-06,+5.229309016E+00,-12.484264E-03
+448.437E-06,+5.227901981E+00,-12.484264E-03
+450.000E-06,+5.226494946E+00,-12.484264E-03
+451.562E-06,+5.225087911E+00,-12.484264E-03
+453.125E-06,+5.223680875E+00,-12.484264E-03
+454.687E-06,+5.219660775E+00,-12.484264E-03
+456.250E-06,+5.215640674E+00,-12.484264E-03
+457.812E-06,+5.211620574E+00,-12.484264E-03
+459.375E-06,+5.207600474E+00,-12.484264E-03
+460.937E-06,+5.203580373E+00,-12.484264E-03
+462.500E-06,+5.199560273E+00,-12.484264E-03
+464.062E-06,+5.195540172E+00,-12.484264E-03
+465.625E-06,+5.191520072E+00,-12.484264E-03
+467.187E-06,+5.187499971E+00,-12.484264E-03
+468.750E-06,+5.183479871E+00,-12.484264E-03
+470.312E-06,+5.177047710E+00,-12.484264E-03
+471.875E-06,+5.170615549E+00,-12.484264E-03
+473.437E-06,+5.164183389E+00,-12.484264E-03
+475.000E-06,+5.157751228E+00,-12.484264E-03
+476.562E-06,+5.151319067E+00,-12.484264E-03
+478.125E-06,+5.144886906E+00,-12.484264E-03
+479.687E-06,+5.138454746E+00,-12.484264E-03
+481.250E-06,+5.132022585E+00,-12.484264E-03
+482.812E-06,+5.125590424E+00,-12.484264E-03
+484.375E-06,+5.119158263E+00,-12.484264E-03
+485.937E-06,+5.110314042E+00,-12.484264E-03
+487.500E-06,+5.101469821E+00,-12.484264E-03
+489.062E-06,+5.092625600E+00,-12.484264E-03
+490.625E-06,+5.083781379E+00,-12.484264E-03
+492.187E-06,+5.074937158E+00,-12.484264E-03
+493.750E-06,+5.066092937E+00,-12.484264E-03
+495.312E-06,+5.057248716E+00,-12.484264E-03
+496.875E-06,+5.048404495E+00,-12.484264E-03
+498.437E-06,+5.039560274E+00,-12.484264E-03
+500.000E-06,+5.030716053E+00,-12.484264E-03
+501.562E-06,+5.019660777E+00,-12.484264E-03
+503.125E-06,+5.008605501E+00,-12.484264E-03
+504.687E-06,+4.997550225E+00,-12.484264E-03
+506.250E-06,+4.986494948E+00,-12.484264E-03
+507.812E-06,+4.975439672E+00,-12.484264E-03
+509.375E-06,+4.964384396E+00,-12.484264E-03
+510.937E-06,+4.953329119E+00,-12.484264E-03
+512.500E-06,+4.942273843E+00,-12.484264E-03
+514.062E-06,+4.931218567E+00,-12.484264E-03
+515.625E-06,+4.920163291E+00,-12.484264E-03
+517.187E-06,+4.906896959E+00,-12.484264E-03
+518.750E-06,+4.893630628E+00,-12.484264E-03
+520.312E-06,+4.880364296E+00,-12.484264E-03
+521.875E-06,+4.867097965E+00,-12.484264E-03
+523.437E-06,+4.853831633E+00,-12.484264E-03
+525.000E-06,+4.840565302E+00,-12.484264E-03
+526.562E-06,+4.827298970E+00,-12.484264E-03
+528.125E-06,+4.814032639E+00,-12.484264E-03
+529.687E-06,+4.800766307E+00,-12.484264E-03
+531.250E-06,+4.787499976E+00,-12.484264E-03
+532.812E-06,+4.772223594E+00,-12.484264E-03
+534.375E-06,+4.756947212E+00,-12.484264E-03
+535.937E-06,+4.741670830E+00,-12.484264E-03
+537.500E-06,+4.726394449E+00,-12.484264E-03
+539.062E-06,+4.711118067E+00,-12.484264E-03
+540.625E-06,+4.695841685E+00,-12.484264E-03
+542.187E-06,+4.680565303E+00,-12.484264E-03
+543.750E-06,+4.665288922E+00,-12.484264E-03
+545.313E-06,+4.650012540E+00,-12.484264E-03
+546.875E-06,+4.634736158E+00,-12.484264E-03
+548.438E-06,+4.617449726E+00,-12.484264E-03
+550.000E-06,+4.600163294E+00,-12.484264E-03
+551.563E-06,+4.582876862E+00,-12.484264E-03
+553.125E-06,+4.565590430E+00,-12.484264E-03
+554.688E-06,+4.548303998E+00,-12.484264E-03
+556.250E-06,+4.531017566E+00,-12.484264E-03
+557.813E-06,+4.513731134E+00,-12.484264E-03
+559.375E-06,+4.496444702E+00,-12.484264E-03
+560.938E-06,+4.479158270E+00,-12.484264E-03
+562.500E-06,+4.461871838E+00,-12.484264E-03
+564.063E-06,+4.442776361E+00,-12.484264E-03
+565.625E-06,+4.423680884E+00,-12.484264E-03
+567.188E-06,+4.404585407E+00,-12.484264E-03
+568.750E-06,+4.385489930E+00,-12.484264E-03
+570.313E-06,+4.366394452E+00,-12.484264E-03
+571.875E-06,+4.347298975E+00,-12.484264E-03
+573.438E-06,+4.328203498E+00,-12.484264E-03
+575.000E-06,+4.309108021E+00,-12.484264E-03
+576.563E-06,+4.290012544E+00,-12.484264E-03
+578.125E-06,+4.270917066E+00,-12.484264E-03
+579.688E-06,+4.250615559E+00,-12.484264E-03
+581.250E-06,+4.230314052E+00,-12.484264E-03
+582.813E-06,+4.210012544E+00,-12.484264E-03
+584.375E-06,+4.189711037E+00,-12.484264E-03
+585.938E-06,+4.169409530E+00,-12.484264E-03
+587.500E-06,+4.149108023E+00,-12.484264E-03
