time,V(vi),V(vout)
3.046641193161580e-006,0.000000e+000,3.131450e+000
3.079498336018723e-006,0.000000e+000,3.280995e+000
3.112355478875865e-006,0.000000e+000,3.422146e+000
3.145212621733008e-006,0.000000e+000,3.554905e+000
3.178069764590151e-006,0.000000e+000,3.679270e+000
3.210926907447294e-006,0.000000e+000,3.795243e+000
3.243784050304437e-006,0.000000e+000,3.902822e+000
3.276641193161580e-006,0.000000e+000,4.002008e+000
3.328069764590151e-006,0.000000e+000,4.138542e+000
3.379498336018722e-006,0.000000e+000,4.261485e+000
3.430926907447294e-006,0.000000e+000,4.370838e+000
3.482355478875865e-006,0.000000e+000,4.466600e+000
3.533784050304437e-006,0.000000e+000,4.548771e+000
3.585212621733008e-006,0.000000e+000,4.617352e+000
3.636641193161579e-006,0.000000e+000,4.672342e+000
3.668069764590151e-006,0.000000e+000,4.703389e+000
3.699498336018722e-006,0.000000e+000,4.732078e+000
3.730926907447294e-006,0.000000e+000,4.758409e+000
3.762355478875865e-006,0.000000e+000,4.782382e+000
3.793784050304437e-006,0.000000e+000,4.803997e+000
3.825212621733008e-006,0.000000e+000,4.823254e+000
3.856641193161580e-006,0.000000e+000,4.840153e+000
3.885212621733008e-006,0.000000e+000,4.854292e+000
3.913784050304436e-006,0.000000e+000,4.867408e+000
3.942355478875865e-006,0.000000e+000,4.879499e+000
3.970926907447293e-006,0.000000e+000,4.890567e+000
3.999498336018722e-006,0.000000e+000,4.900611e+000
4.028069764590151e-006,0.000000e+000,4.909631e+000
4.056641193161579e-006,0.000000e+000,4.917627e+000
4.083784050304437e-006,0.000000e+000,4.924636e+000
4.110926907447294e-006,0.000000e+000,4.931152e+000
4.138069764590151e-006,0.000000e+000,4.937174e+000
4.165212621733007e-006,0.000000e+000,4.942703e+000
4.192355478875865e-006,0.000000e+000,4.947738e+000
4.219498336018722e-006,0.000000e+000,4.952279e+000
4.246641193161579e-006,0.000000e+000,4.956327e+000
4.273784050304436e-006,0.000000e+000,4.960059e+000
4.300926907447294e-006,0.000000e+000,4.963527e+000
4.328069764590151e-006,0.000000e+000,4.966730e+000
4.355212621733008e-006,0.000000e+000,4.969670e+000
4.382355478875865e-006,0.000000e+000,4.972344e+000
4.409498336018723e-006,0.000000e+000,4.974755e+000
4.436641193161580e-006,0.000000e+000,4.976901e+000
4.463784050304437e-006,0.000000e+000,4.978880e+000
4.490926907447294e-006,0.000000e+000,4.980718e+000
4.518069764590152e-006,0.000000e+000,4.982415e+000
4.545212621733008e-006,0.000000e+000,4.983972e+000
4.572355478875865e-006,0.000000e+000,4.985388e+000
4.599498336018723e-006,0.000000e+000,4.986664e+000
4.626641193161580e-006,0.000000e+000,4.987799e+000
4.653784050304437e-006,0.000000e+000,4.988845e+000
4.680926907447294e-006,0.000000e+000,4.989817e+000
4.708069764590151e-006,0.000000e+000,4.990714e+000
4.735212621733008e-006,0.000000e+000,4.991537e+000
4.762355478875865e-006,0.000000e+000,4.992285e+000
4.789498336018722e-006,0.000000e+000,4.992959e+000
4.816641193161580e-006,0.000000e+000,4.993559e+000
4.842772972982344e-006,0.000000e+000,4.994092e+000
4.868904752803108e-006,0.000000e+000,4.994589e+000
4.895036532623873e-006,0.000000e+000,4.995049e+000
4.921168312444637e-006,0.000000e+000,4.995472e+000
4.947300092265402e-006,0.000000e+000,4.995858e+000
4.973431872086165e-006,0.000000e+000,4.996207e+000
4.999563651906930e-006,0.000000e+000,4.996520e+000
5.000000000000000e-006,0.000000e+000,4.996525e+000
5.000003095559509e-006,1.547780e-002,4.996531e+000
5.000009286678527e-006,4.643339e-002,4.996544e+000
5.000095962344777e-006,4.798117e-001,4.996715e+000
5.000195020249063e-006,9.751012e-001,4.996911e+000
5.000393136057637e-006,1.965680e+000,4.997279e+000
5.000603768382855e-006,3.018842e+000,4.997399e+000
5.001000000000000e-006,5.000000e+000,4.996935e+000
5.001000915410517e-006,5.000000e+000,4.996929e+000
5.001002746231552e-006,5.000000e+000,4.996917e+000
5.003144806842052e-006,5.000000e+000,4.982869e+000
5.005286867452553e-006,5.000000e+000,4.968824e+000
5.007428928063053e-006,5.000000e+000,4.954782e+000
5.009570988673554e-006,5.000000e+000,4.940744e+000
5.011713049284053e-006,5.000000e+000,4.926710e+000
5.013855109894554e-006,5.000000e+000,4.912679e+000
5.015997170505054e-006,5.000000e+000,4.898651e+000
5.025997170505054e-006,5.000000e+000,4.833192e+000
5.035997170505054e-006,5.000000e+000,4.767792e+000
5.045997170505054e-006,5.000000e+000,4.702463e+000
5.065997170505054e-006,5.000000e+000,4.572035e+000
5.095997170505054e-006,5.000000e+000,4.376975e+000
5.125997170505054e-006,5.000000e+000,4.182610e+000
5.148854313362197e-006,5.000000e+000,4.034989e+000
5.171711456219339e-006,5.000000e+000,3.887769e+000
5.194568599076482e-006,5.000000e+000,3.740948e+000
5.217425741933625e-006,5.000000e+000,3.594526e+000
5.240282884790769e-006,5.000000e+000,3.448503e+000
5.263140027647911e-006,5.000000e+000,3.302880e+000
5.285997170505054e-006,5.000000e+000,3.157657e+000
5.315997170505054e-006,5.000000e+000,2.964868e+000
5.345997170505054e-006,5.000000e+000,2.776765e+000
5.375997170505054e-006,5.000000e+000,2.593347e+000
5.405997170505055e-006,5.000000e+000,2.414616e+000
5.435997170505054e-006,5.000000e+000,2.240570e+000
5.465997170505055e-006,5.000000e+000,2.071210e+000
5.495997170505055e-006,5.000000e+000,1.906536e+000
5.523140027647912e-006,5.000000e+000,1.766360e+000
5.550282884790769e-006,5.000000e+000,1.633195e+000
5.577425741933626e-006,5.000000e+000,1.507039e+000
5.604568599076483e-006,5.000000e+000,1.387894e+000
5.631711456219340e-006,5.000000e+000,1.275760e+000
5.658854313362197e-006,5.000000e+000,1.170636e+000
5.685997170505054e-006,5.000000e+000,1.072522e+000
5.717425741933626e-006,5.000000e+000,9.685659e-001
5.748854313362197e-006,5.000000e+000,8.722019e-001
5.780282884790769e-006,5.000000e+000,7.834296e-001
5.811711456219340e-006,5.000000e+000,7.022492e-001
5.843140027647911e-006,5.000000e+000,6.286605e-001
5.874568599076483e-006,5.000000e+000,5.626636e-001
5.905997170505054e-006,5.000000e+000,5.042585e-001
5.933140027647911e-006,5.000000e+000,4.581945e-001
5.960282884790769e-006,5.000000e+000,4.154752e-001
5.987425741933626e-006,5.000000e+000,3.761004e-001
