x-axis,v1,v2
second,Volt,Volt
-1.247500E-06,+5.251256257296E+00,-15.075344592E-03
-1.245000E-06,+5.286432136316E+00,-10.050219018E-03
-1.242500E-06,+5.251256257296E+00,+32.131E-09
-1.240000E-06,+5.251256257296E+00,-15.075344592E-03
-1.237500E-06,+5.291457261890E+00,+10.050283279E-03
-1.235000E-06,+5.251256257296E+00,+20.100534428E-03
-1.232500E-06,+5.251256257296E+00,+10.050283279E-03
-1.230000E-06,+5.256281382870E+00,+30.150785577E-03
-1.227500E-06,+5.251256257296E+00,+25.125660002E-03
-1.225000E-06,+5.291457261890E+00,-10.050219018E-03
-1.222500E-06,+5.291457261890E+00,-15.075344592E-03
-1.220000E-06,+5.256281382870E+00,-10.050219018E-03
-1.217500E-06,+5.276381885167E+00,-15.075344592E-03
-1.215000E-06,+5.251256257296E+00,+15.075408854E-03
-1.212500E-06,+5.291457261890E+00,+32.131E-09
-1.210000E-06,+5.251256257296E+00,-10.050219018E-03
-1.207500E-06,+5.251256257296E+00,+40.201036725E-03
-1.205000E-06,+5.286432136316E+00,-15.075344592E-03
-1.202500E-06,+5.251256257296E+00,+32.131E-09
-1.200000E-06,+5.251256257296E+00,+20.100534428E-03
-1.197500E-06,+5.251256257296E+00,+10.050283279E-03
-1.195000E-06,+5.251256257296E+00,-15.075344592E-03
-1.192500E-06,+5.266331634019E+00,-30.150721315E-03
-1.190000E-06,+5.291457261890E+00,-10.050219018E-03
-1.187500E-06,+5.251256257296E+00,-15.075344592E-03
-1.185000E-06,+5.286432136316E+00,-10.050219018E-03
-1.182500E-06,+5.251256257296E+00,+32.131E-09
-1.180000E-06,+5.251256257296E+00,-10.050219018E-03
-1.177500E-06,+5.251256257296E+00,-30.150721315E-03
-1.175000E-06,+5.251256257296E+00,-15.075344592E-03
-1.172500E-06,+5.251256257296E+00,+25.125660002E-03
-1.170000E-06,+5.256281382870E+00,-15.075344592E-03
-1.167500E-06,+5.251256257296E+00,+15.075408854E-03
-1.165000E-06,+5.281407010742E+00,-15.075344592E-03
-1.162500E-06,+5.276381885167E+00,+32.131E-09
-1.160000E-06,+5.251256257296E+00,-15.075344592E-03
-1.157500E-06,+5.251256257296E+00,-15.075344592E-03
-1.155000E-06,+5.251256257296E+00,+20.100534428E-03
-1.152500E-06,+5.266331634019E+00,-15.075344592E-03
-1.150000E-06,+5.221105503850E+00,-15.075344592E-03
-1.147500E-06,+5.276381885167E+00,+10.050283279E-03
-1.145000E-06,+5.286432136316E+00,+25.125660002E-03
-1.142500E-06,+5.266331634019E+00,+25.125660002E-03
-1.140000E-06,+5.286432136316E+00,-10.050219018E-03
-1.137500E-06,+5.276381885167E+00,-15.075344592E-03
-1.135000E-06,+5.251256257296E+00,+20.100534428E-03
-1.132500E-06,+5.241206006147E+00,+32.131E-09
-1.130000E-06,+5.256281382870E+00,-15.075344592E-03
-1.127500E-06,+5.251256257296E+00,-15.075344592E-03
-1.125000E-06,+5.286432136316E+00,-15.075344592E-03
-1.122500E-06,+5.276381885167E+00,+32.131E-09
-1.120000E-06,+5.251256257296E+00,+25.125660002E-03
-1.117500E-06,+5.276381885167E+00,-15.075344592E-03
-1.115000E-06,+5.246231131721E+00,+20.100534428E-03
-1.112500E-06,+5.291457261890E+00,+25.125660002E-03
-1.110000E-06,+5.291457261890E+00,+20.100534428E-03
-1.107500E-06,+5.276381885167E+00,-15.075344592E-03
-1.105000E-06,+5.291457261890E+00,-15.075344592E-03
-1.102500E-06,+5.276381885167E+00,+25.125660002E-03
-1.100000E-06,+5.256281382870E+00,-10.050219018E-03
-1.097500E-06,+5.251256257296E+00,-15.075344592E-03
-1.095000E-06,+5.251256257296E+00,-15.075344592E-03
-1.092500E-06,+5.251256257296E+00,-15.075344592E-03
-1.090000E-06,+5.251256257296E+00,-15.075344592E-03
-1.087500E-06,+5.251256257296E+00,+32.131E-09
-1.085000E-06,+5.256281382870E+00,-15.075344592E-03
