x-axis,v1,v2
second,Volt,Volt
+343.750E-06,+4.429648221E+00,-15.075345E-03
+345.312E-06,+4.429648221E+00,-15.075345E-03
+346.875E-06,+4.461809024E+00,-15.075345E-03
+348.437E-06,+4.493969828E+00,-15.075345E-03
+350.000E-06,+4.493969828E+00,-15.075345E-03
+351.562E-06,+4.526130632E+00,-15.075345E-03
+353.125E-06,+4.526130632E+00,-15.075345E-03
+354.687E-06,+4.526130632E+00,-15.075345E-03
+356.250E-06,+4.590452239E+00,-55.276349E-03
+357.812E-06,+4.590452239E+00,+25.125660E-03
+359.375E-06,+4.590452239E+00,+25.125660E-03
+360.937E-06,+4.622613043E+00,+25.125660E-03
+362.500E-06,+4.654773846E+00,-15.075345E-03
+364.062E-06,+4.654773846E+00,-15.075345E-03
+365.625E-06,+4.686934650E+00,-15.075345E-03
+367.187E-06,+4.654773846E+00,-55.276349E-03
+368.750E-06,+4.719095454E+00,-15.075345E-03
+370.312E-06,+4.751256257E+00,-15.075345E-03
+371.875E-06,+4.719095454E+00,-15.075345E-03
+373.437E-06,+4.751256257E+00,+25.125660E-03
+375.000E-06,+4.751256257E+00,-15.075345E-03
+376.562E-06,+4.815577865E+00,-15.075345E-03
+378.125E-06,+4.815577865E+00,-15.075345E-03
+379.687E-06,+4.815577865E+00,-15.075345E-03
+381.250E-06,+4.783417061E+00,-15.075345E-03
+382.812E-06,+4.847738668E+00,-15.075345E-03
+384.375E-06,+4.815577865E+00,-15.075345E-03
+385.937E-06,+4.847738668E+00,-15.075345E-03
+387.500E-06,+4.879899472E+00,-15.075345E-03
+389.062E-06,+4.847738668E+00,-15.075345E-03
+390.625E-06,+4.912060276E+00,-15.075345E-03
+392.187E-06,+4.944221079E+00,-55.276349E-03
+393.750E-06,+4.912060276E+00,-15.075345E-03
+395.312E-06,+4.912060276E+00,-15.075345E-03
+396.875E-06,+4.976381883E+00,-55.276349E-03
+398.437E-06,+4.976381883E+00,+25.125660E-03
+400.000E-06,+4.976381883E+00,-15.075345E-03
+401.562E-06,+4.976381883E+00,+25.125660E-03
+403.125E-06,+4.976381883E+00,+25.125660E-03
+404.687E-06,+5.008542687E+00,-15.075345E-03
+406.250E-06,+5.008542687E+00,+25.125660E-03
+407.812E-06,+5.040703490E+00,-15.075345E-03
+409.375E-06,+5.040703490E+00,+25.125660E-03
+410.937E-06,+5.040703490E+00,-15.075345E-03
+412.500E-06,+5.072864294E+00,-55.276349E-03
+414.062E-06,+5.040703490E+00,-15.075345E-03
+415.625E-06,+5.072864294E+00,-15.075345E-03
+417.187E-06,+5.072864294E+00,-15.075345E-03
+418.750E-06,+5.072864294E+00,-15.075345E-03
+420.312E-06,+5.105025098E+00,-15.075345E-03
+421.875E-06,+5.072864294E+00,-15.075345E-03
+423.437E-06,+5.072864294E+00,+25.125660E-03
+425.000E-06,+5.105025098E+00,-15.075345E-03
+426.562E-06,+5.169346705E+00,-15.075345E-03
+428.125E-06,+5.137185901E+00,-15.075345E-03
+429.687E-06,+5.201507509E+00,-15.075345E-03
+431.250E-06,+5.137185901E+00,-15.075345E-03
+432.812E-06,+5.137185901E+00,+25.125660E-03
+434.375E-06,+5.201507509E+00,-15.075345E-03
+435.937E-06,+5.169346705E+00,-15.075345E-03
+437.500E-06,+5.169346705E+00,-15.075345E-03
+439.062E-06,+5.169346705E+00,-15.075345E-03
+440.625E-06,+5.201507509E+00,+25.125660E-03
+442.187E-06,+5.201507509E+00,-15.075345E-03
+443.750E-06,+5.169346705E+00,+25.125660E-03
+445.312E-06,+5.201507509E+00,-15.075345E-03
+446.875E-06,+5.201507509E+00,+25.125660E-03
+448.437E-06,+5.201507509E+00,-15.075345E-03
+450.000E-06,+5.233668312E+00,-15.075345E-03
+451.562E-06,+5.201507509E+00,-15.075345E-03
+453.125E-06,+5.233668312E+00,-15.075345E-03
+454.687E-06,+5.201507509E+00,-15.075345E-03
+456.250E-06,+5.233668312E+00,-55.276349E-03
+457.812E-06,+5.201507509E+00,+25.125660E-03
+459.375E-06,+5.233668312E+00,-15.075345E-03
